[Sunday/October 08/10/2023 22:48:03] D:\Downloads\Tom.Clancys.Jack.Ryan.S03.COMPLETE.1080p.AMZN.WEB-DL.DDP5.1.H.264-ShiNobi[TGx]\Tom.Clancys.Jack.Ryan.S03E01.Falcon.1080p.AMZN.WEB-DL.DDP5.1.H.264-ShiNobi.mkv | length=3907.648 | time=8.926
[Sunday/October 08/10/2023 22:48:11] D:\Downloads\Tom.Clancys.Jack.Ryan.S03.COMPLETE.1080p.AMZN.WEB-DL.DDP5.1.H.264-ShiNobi[TGx]\Tom.Clancys.Jack.Ryan.S03E02.Old.Haunts.1080p.AMZN.WEB-DL.DDP5.1.H.264-ShiNobi.mkv | length=3135.328 | time=1665.581
[Sunday/October 08/10/2023 22:48:25] D:\Downloads\Tom Clancy's Jack Ryan (2018) Season 4 S04 (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence)\Tom Clancy's Jack Ryan (2018) - S04E01 - Triage (1080p AMZN WEB-DL x265 Silence).mkv | length=3576.544 | time=2030.403
[Sunday/October 08/10/2023 22:48:37] D:\Downloads\Tom Clancy's Jack Ryan (2018) Season 4 S04 (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence)\Tom Clancy's Jack Ryan (2018) - S04E02 - Convergence (1080p AMZN WEB-DL x265 Silence).mkv | length=3124.96 | time=2883.255
[Sunday/October 08/10/2023 22:52:27] D:\Downloads\Tom Clancy's Jack Ryan (2018) Season 4 S04 (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence)\Tom Clancy's Jack Ryan (2018) - S04E03 - Sacrifices (1080p AMZN WEB-DL x265 Silence).mkv | length=3023.648 | time=2617.24
[Sunday/October 08/10/2023 22:52:27] D:\Downloads\Tom Clancy's Jack Ryan (2018) Season 4 S04 (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence)\Tom Clancy's Jack Ryan (2018) - S04E04 - Bethesda (1080p AMZN WEB-DL x265 Silence).mkv | length=3078.88 | time=0
[Sunday/October 08/10/2023 22:56:33] D:\Downloads\The.Rookie.S01.1080p.WEBRip.x265-RARBG\The.Rookie.S01E14.1080p.WEBRip.x265-RARBG.mp4 | length=2583.1776666667 | time=8.75875
[Sunday/October 08/10/2023 22:56:47] D:\Downloads\The.Rookie.S01.1080p.WEBRip.x265-RARBG\The.Rookie.S01E19.1080p.WEBRip.x265-RARBG.mp4 | length=2573.2893333333 | time=1968.8835833333
[Sunday/October 08/10/2023 23:46:23] D:\Downloads\The.Rookie.S01.1080p.WEBRip.x265-RARBG\The.Rookie.S01E20.1080p.WEBRip.x265-RARBG.mp4 | length=2583.1776666667 | time=847.471625
[Monday/October 09/10/2023 00:12:06] D:\Downloads\Tom Clancy's Jack Ryan (2018) Season 4 S04 (1080p AMZN WEB-DL x265 HEVC 10bit EAC3 5.1 Silence)\Tom Clancy's Jack Ryan (2018) - S04E04 - Bethesda (1080p AMZN WEB-DL x265 Silence).mkv | length=3078.88 | time=88.088
[Thursday/October 12/10/2023 21:52:18] D:\Downloads\2023-09-07_0hhofg5l45ntn8dkkt8qy_source (1).mp4 | length=821.78763333333 | time=821.6108
